category1,category2,key,subweapon,special,mainweapon,reskin,splatnet,[de-DE],[en-GB],[en-US],[es-ES],[es-MX],[fr-CA],[fr-FR],[it-IT],[ja-JP],[nl-NL],[ru-RU],[zh-CN],[zh-TW]
shooter,maneuver,maneuver_becchu,kyubanbomb,sphere,maneuver,maneuver_becchu,5012,Kensa-Klecks-Doppler,Kensa Splat Dualies,Kensa Splat Dualies,Difusor dual elegante,Difusor dual Tonken,Double encreur Thony K,Double encreur K,Repolper duplo Nero Marlin,スプラマニューバーベッチュー,Toni Kensa Dubbelknallers,Спуртометы от С. Кусаки,剑乌贼丸贴牌双枪,劍烏賊丸貼牌雙槍
shooter,maneuver,quadhopper_white,sprinkler,robotbomb_pitcher,quadhopper_black,quadhopper_white,5041,Quadhopper Blanc,Light Tetra Dualies,Light Tetra Dualies,Motatrónic dual blanco,Tetra dual blanco,Double voltigeur blanc,Double voltigeur blanc,Moscarpino duplo bianco,クアッドホッパーホワイト,Quadhoppers Wit,Белые спуртокроссы,白色气垫双枪,白色氣墊雙槍
shooter,maneuver,maneuver,quickbomb,missile,maneuver,maneuver,5010,Klecks-Doppler,Splat Dualies,Splat Dualies,Difusor dual,Difusor dual,Double encreur,Double encreur,Repolper duplo,スプラマニューバー,Dubbelknallers,Спуртометы,绿色双枪,綠色雙槍
shooter,reelgun,h3reelgun_cherry,splashshield,bubble,h3reelgun,h3reelgun_cherry,312,S3 Tintenwerfer Kirsch,Cherry H-3 Nozzlenose,Cherry H-3 Nozzlenose,Tintambor pesado cereza,Manguera pesada cereza,Arroseur lourd cerise,Arroseur lourd Cerise,Triplete ciliegia,H3リールガンチェリー,H-3 Langsnuit Kers,Т-каплетрон «Вишня»,樱桃H3水枪,櫻桃H3水槍
shooter,reelgun,h3reelgun,pointsensor,missile,h3reelgun,h3reelgun,310,S3 Tintenwerfer,H-3 Nozzlenose,H-3 Nozzlenose,Tintambor pesado,Manguera pesada,Arroseur lourd,Arroseur lourd,Triplete,H3リールガン,H-3 Langsnuit,Тяжелый каплетрон,H3水枪,H3水槍
shooter,reelgun,h3reelgun_d,kyubanbomb,armor,h3reelgun,h3reelgun_d,311,S3 Tintenwerfer D,H-3 Nozzlenose D,H-3 Nozzlenose D,Tintambor pesado D,Manguera pesada D,Arroseur lourd requin,Arroseur lourd Cétacé,Triplete D,H3リールガンD,H-3 Langsnuit D,Тяжелый каплетрон 2.0,贴牌H3水枪,貼牌H3水槍
shooter,reelgun,l3reelgun_becchu,splashshield,ultrahanko,l3reelgun,l3reelgun_becchu,302,Kensa-L3-Tintenwerfer,Kensa L-3 Nozzlenose,Kensa L-3 Nozzlenose,Tintambor ligero elegante,Manguera ligera Tonken,Arroseur léger Thony K,Arroseur léger K,Triplete compatto Nero Marlin,L3リールガンベッチュー,Toni Kensa L-3 Stompsnuit,Каплетрон-компакт С.К.,剑乌贼丸贴牌L-3水枪,劍烏賊丸貼牌L-3水槍
shooter,reelgun,l3reelgun,curlingbomb,sphere,l3reelgun,l3reelgun,300,L3 Tintenwerfer,L-3 Nozzlenose,L-3 Nozzlenose,Tintambor ligero,Manguera ligera,Arroseur léger,Arroseur léger,Triplete compatto,L3リールガン,L-3 Stompsnuit,Каплетрон-компакт,L-3水枪,L-3水槍
shooter,reelgun,l3reelgun_d,quickbomb,jetpack,l3reelgun,l3reelgun_d,301,L3 Tintenwerfer D,L-3 Nozzlenose D,L-3 Nozzlenose D,Tintambor ligero D,Manguera ligera D,Arroseur léger requin,Arroseur léger Cétacé,Triplete compatto D,L3リールガンD,L-3 Stompsnuit D,Каплетрон-компакт 2.0,贴牌L-3水枪,貼牌L-3水槍
roller,roller,carbon,robotbomb,amefurashi,carbon,carbon,1000,Karbonroller,Carbon Roller,Carbon Roller,Rodillo de carbono,Rodillo de carbono,Rouleau carbone,Rouleau carbone,Rullo di carbonio,カーボンローラー,Carbonroller,Валик ЛАЙТ,碳刷,碳刷
roller,roller,carbon_deco,quickbomb,robotbomb_pitcher,carbon,carbon_deco,1001,Karbonroller Deko,Carbon Roller Deco,Carbon Roller Deco,Rodillo de carbono DX,Rodillo de carbono chic,Rouleau carbone chic,Rouleau carbone chic,Rullo di carbonio DX,カーボンローラーデコ,Carbonroller Deco,Валик ЛАЙТ «Деко»,德科贴牌碳刷,德科貼牌碳刷
roller,roller,dynamo,trap,presser,dynamo,dynamo,1020,Dynaroller,Dynamo Roller,Dynamo Roller,Dinamorrodillo,Rodillo Pro,Dynamo-rouleau,Dynamo-rouleau,Rullo dinamo,ダイナモローラー,Dynamoroller,Мотовалик,重刷,重刷
roller,roller,variableroller,splashshield,splashbomb_pitcher,variableroller,variableroller,1030,Flex-Roller,Flingza Roller,Flingza Roller,Rodillo versátil,Rodillo versátil,Flexi-rouleau,Flexi-rouleau,Flexi-rullo,ヴァリアブルローラー,Flexroller,Омнивалик,可变滚筒,可變滾筒
roller,roller,variableroller_foil,kyubanbomb,missile,variableroller,variableroller_foil,1031,Flex-Roller Fol,Foil Flingza Roller,Foil Flingza Roller,Rodillo versátil B,Rodillo versátil Foil,  Flexi-rouleau aluminium,Flexi-rouleau alu,Flexi-rullo B,ヴァリアブルローラーフォイル,Foil Flexroller,Омнивалик «Блеск»,金箔可变滚筒,金箔可變滾筒
roller,roller,dynamo_tesla,splashbomb,armor,dynamo,dynamo_tesla,1021,Dynaroller Tesla,Gold Dynamo Roller,Gold Dynamo Roller,Dinamorrodillo T,Rodillo Pro dorado,Dynamo-rouleau pro,Dynamo-rouleau tesla,Rullo dinamo dorato,ダイナモローラーテスラ,Gouden Dynamoroller,Мотовалик VIP,金色重刷,金色重刷
roller,roller,heroroller_replica,curlingbomb,chakuchi,splatroller,splatroller,1015,Helden-Roller Replik,Hero Roller Replica,Hero Roller Replica,Rodillo de élite (réplica),Rodillo de élite réplica,Rouleau héroïque (rép.),Rouleau héroïque (réplique),Rullo élite replica,ヒーローローラー レプリカ,Heldenroller (replica),Валик-004 (клон),复刻英雄滚筒,復刻英雄滾筒
roller,roller,dynamo_becchu,sprinkler,nicedama,dynamo,dynamo_becchu,1022,Kensa-Dynaroller,Kensa Dynamo Roller,Kensa Dynamo Roller,Dinamorrodillo elegante,Rodillo Pro Tonken,Dynamo-rouleau Thony K,Dynamo-rouleau K,Rullo dinamo Nero Marlin,ダイナモローラーベッチュー,Toni Kensa Dynamoroller,Мотовалик от С. Кусаки,剑乌贼丸贴牌重刷,劍烏賊丸貼牌重刷
roller,roller,splatroller_becchu,splashbomb,bubble,splatroller,splatroller_becchu,1012,Kensa-Klecksroller,Kensa Splat Roller,Kensa Splat Roller,Rodillo básico elegante,Rodillo básico Tonken,Rouleau Thony K,Rouleau K,Rullo splat Nero Marlin,スプラローラーベッチュー,Toni Kensa Klodderroller,Валик от С. Кусаки,剑乌贼丸贴牌滚筒,劍烏賊丸貼牌滾筒
roller,roller,splatroller_collabo,jumpbeacon,sphere,splatroller,splatroller_collabo,1011,Medusa-Klecksroller,Krak-On Splat Roller,Krak-On Splat Roller,Rodillo básico B,Rodillo básico Meddux,Rouleau Krakeurs,Rouleau griffé,Rullo splat logo,スプラローラーコラボ,Krak-On Klodderroller,Сплат-валик «Кра-Кен»,海蜇贴牌滚筒,海蜇貼牌滾筒
